ProteinName	ExperiemntName	SpikedInMols	LFAQ	
sp|P63279ups|UBC9_HUMAN_UPS	UPS2_Yeast_R1	1.69897000433602	9.06743540616336	
sp|P63279ups|UBC9_HUMAN_UPS	UPS2_Yeast_R2	1.69897000433602	9.18109721762239	
sp|P63279ups|UBC9_HUMAN_UPS	UPS2_Yeast_R3	1.69897000433602	9.13897178562159	
sp|P68871ups|HBB_HUMAN_UPS	UPS2_Yeast_R1	3.69897000433602	10.1238581716621	
sp|P68871ups|HBB_HUMAN_UPS	UPS2_Yeast_R2	3.69897000433602	10.2096838740095	
sp|P68871ups|HBB_HUMAN_UPS	UPS2_Yeast_R3	3.69897000433602	10.1834748392463	
sp|P69905ups|HBA_HUMAN_UPS	UPS2_Yeast_R1	3.69897000433602	10.509020968118	
sp|P69905ups|HBA_HUMAN_UPS	UPS2_Yeast_R2	3.69897000433602	10.6402627439629	
sp|P69905ups|HBA_HUMAN_UPS	UPS2_Yeast_R3	3.69897000433602	10.6747417622122	
sp|Q06830ups|PRDX1_HUMAN_UPS	UPS2_Yeast_R1	2.69897000433602	9.66547498396375	
sp|Q06830ups|PRDX1_HUMAN_UPS	UPS2_Yeast_R2	2.69897000433602	9.6839102636096	
sp|Q06830ups|PRDX1_HUMAN_UPS	UPS2_Yeast_R3	2.69897000433602	9.62505097226611	
sp|Q15843ups|NEDD8_HUMAN_UPS	UPS2_Yeast_R1	1.69897000433602	9.03932685489722	
sp|Q15843ups|NEDD8_HUMAN_UPS	UPS2_Yeast_R2	1.69897000433602	8.85833985552447	
sp|Q15843ups|NEDD8_HUMAN_UPS	UPS2_Yeast_R3	1.69897000433602	8.86624893039083	
sp|P08263ups|GSTA1_HUMAN_UPS	UPS2_Yeast_R2	0.698970004336019	7.81306366333501	
sp|P08263ups|GSTA1_HUMAN_UPS	UPS2_Yeast_R3	0.698970004336019	8.28778605922806	
